ins_code,isin,symbol,name,previous_close,last_price,close_price,close_price_change_percent,volume,trade_value,high,low,buyer_power,buy_power_numerator,sell_power_denominator,real_money_flow,best_buy_price,best_sell_price,best_buy_volume,best_sell_volume
15057355387652304,IRO9MKBT8561,ضمخا7102,اختيارخ اخابر-900-1405/07/22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15088499796168145,IROFMKBT9391,طمخا5020,اختيارف اخابر-800-1405/05/20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15173326261899158,IROATVAF2391,ضتوان640,اختيارخ توان-70000-14050629,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15174257530393961,IRB5AF9406C1,مشهد0612,مشاركت ش مشهد0612-3ماهه20.5%,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15239383809223896,IRO9PNES2841,ضشنا4029,اختيارخ شپنا-5500-1405/04/17,3700.0,3700.0,3700.0,0.0,323.0,1195100000.0,3770.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15420554853151242,IRT1SAMR0001,ثمر,صندوق س ثمرگندم-ثابت,12976.0,12976.0,12976.0,0.0,13061708.0,169490523438.0,12958.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15451317146134956,IRT1OMEL0001,افق ملت,صندوق س در سهام افق ملت,456520.0,453732.0,451500.0,-1.1,3935.0,1785436200.0,463822.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15505445689995385,IRO9GOST2471,ضستر4031,اختيارخ خگستر-2800-1405/04/10,0.0,601.0,601.0,0.0,0.0,0.0,601.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15803217381642642,IRB6AD040551,صرازي505,صكوك مرابحه كرازي505-3ماهه18%,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15930821245168534,IRO7KACP0001,سكارون,سيمان كارون,5450.0,5310.0,5450.0,0.0,147925.0,806191250.0,5300.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16039501859433091,IRB3PCH007C1,پكاشيمي071,مرابحه پكاشيمي-لوتوس071219,0.0,815400.0,815400.0,0.0,0.0,0.0,815400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16040900750729921,IRT3KAAF0001,كامياب,صندوق س. كامياب آشنا-د,35863.0,35863.0,35864.0,0.0,9842538.0,352983200428.0,35818.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16056283141617755,IRT1KRIN0001,كارين,صندوق س نگين سامان-ثابت,17978.0,17975.0,17975.0,-0.02,110506624.0,1986361673800.0,17951.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16500297474277537,IROATAMF0771,ضطعام414,اختيارخ طعام-28000-14050414,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16697812875985850,IRB3TR2005B1,اخزا210,اسنادخزانه-م10بودجه02-051112,0.0,823540.0,830000.0,0.0,0.0,0.0,823540.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17052062473688851,IRB6AF160731,صتاير703,صكوك مرابحه پتاير703-بدون ضامن,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17227031967506337,IRO9ZOBI8511,ضذوب5019,اختيارخ ذوب-260-1405/05/20,0.0,210.0,210.0,0.0,0.0,0.0,210.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17244733069907210,IRTKROZG0001,رزگلد,صندوق س.پشتوانه طلا آرمان آتي,0.0,14675.0,14703.0,0.0,0.0,0.0,14675.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17297705327536996,IROATAMF0751,ضطعام412,اختيارخ طعام-24000-14050414,0.0,630.0,600.0,0.0,0.0,0.0,630.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17656402633744107,IRB6AG370881,صفارس088,صكوك اجاره فارس088-بدون ضامن,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17733689358218847,IROATVAF2151,ضتوان632,اختيارخ توان-42000-14050629,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18058227717273878,IROFAHRM1A21,طهرم4025,اختيارف اهرم-24000-1405/04/31,140.0,140.0,140.0,0.0,4.0,560000.0,136.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18273153387680169,IRB3TS140731,طبيعت076,مرابحه طبيعت-ترازويستا070311,0.0,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18281765917902041,IROBMOJF7441,طموج518,اختيارف موج-44000-14050525,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18320128145045368,IRO1CHAP0001,چاپ,ص.چاپ وبسته بندي آسان قزوين,12190.0,12430.0,12470.0,2.3,7522758.0,93499880140.0,12110.0,1589.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18377845653697190,IRT3QTMF0001,كوانتوم,صندوق س. كوانتوم بهاوند-س,16247.0,16247.0,16247.0,0.0,611270.0,9931353690.0,16749.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18466366508928782,IROFIKCO7G91,طخود4066,اختيارف خودرو-1000-1405/04/10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18467031337380456,IRT3NAVF0002,ناوگان2,صندوق س.بخشي زمرد نو ويرا1-ب,1.0,1.0,1.0,0.0,1000000.0,1000000.0,11097.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18501772744464220,IROFZOBI9561,طذوب5024,اختيارف ذوب-360-1405/05/20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18568733593280948,IRO1TOOM0001,ثاميد,توسعه و عمران اميد,1414.0,1413.0,1412.0,-0.14,17966828.0,25382812718.0,1455.0,446.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18865325633315847,IRT1KATM0001,خاتم,صندوق س خاتم ايساتيس پويا-ثابت,38580.0,38581.0,38581.0,0.0,2298509.0,88678131393.0,38535.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19024362691002759,IRO9TAMN0H31,ضستا4036,اختيارخ شستا-1100-1405/04/10,0.0,987.0,959.0,0.0,0.0,0.0,987.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19040514831923530,IRO1NORI0001,نوري,پتروشيمي نوري,56910.0,56910.0,56910.0,0.0,22786961.0,1296805950510.0,58660.0,5591.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19074684560939209,IRO3MPGZ0001,ومپنا,مديريت نيروگاهي ايرانيان مپنا,26750.0,26750.0,26750.0,0.0,2500858.0,66925356200.0,27550.0,3877.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19168993639874124,IROBTVAF3111,طتوان628,اختيارف توان-34000-14050629,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
