symbol,missing,latest_date,latest_close,rsi,rsi_divergence,trend_score,volume_ratio_20,return_5d_percent,distance_to_20d_high_percent,distance_to_20d_low_percent,support,resistance,atr,stop_loss,target_1,risk_reward,stale,poc,vah,val,poc_position,bb_upper,bb_middle,bb_lower,bb_squeeze,bb_pct,macd_line,macd_signal,macd_hist,macd_crossover,weekly_rsi,weekly_trend,candle_pattern,candle_bullish,close_20d,initial_score,initial_label
خاور,False,2026-06-29,1366.0,73.39,none,6.0,2.51,-3.12,8.2,20.46,1176.0,1488.0,47.0,1295.5,1488.0,1.73,False,1190.3,1327.7,1144.5,above,1535.89,1292.55,1049.21,False,0.651,69.994,59.3208,10.6731,none,56.79,up,inverted_hammer,True,"1188,1170,1148,1152,1169,1134,1168,1203,1232,1268,1306,1345,1381,1420,1410,1458,1488,1444,1401,1366",35.0,Moderate Candidate
سمازن,False,2026-06-29,59630.0,68.13,none,4.0,0.49,-5.33,8.56,34.12,41720.0,65210.0,2101.43,56477.86,65210.0,1.77,False,63654.5,63654.5,44988.5,below,69360.98,56357.5,43354.02,False,0.626,4745.5981,4951.2494,-205.6513,bearish,66.26,up,none,,"44460,45790,47160,48570,50020,51520,53060,54650,56280,57960,59690,61480,63320,65210,62990,61660,63120,61040,59540,59630",35.0,Moderate Candidate
سپيد,True,,,,none,,,,,,,,,,,,False,,,,unknown,,,,False,,,,,none,,,none,,,35.0,Moderate Candidate
ورنا,False,2026-06-29,5230.0,55.95,bullish,1.0,1.04,-4.56,7.76,3.98,4980.0,5710.0,210.0,5158.5,5710.0,6.71,False,5415.5,5929.5,5158.5,below,5738.08,5351.5,4964.92,False,0.343,-161.3908,-197.8501,36.4593,none,34.89,down,none,,"5470,5360,5200,5050,5130,5030,5080,5280,5270,5400,5570,5410,5530,5610,5480,5670,5570,5420,5270,5230",35.0,Moderate Candidate
خبهمن,False,2026-06-29,1915.0,65.74,bearish,6.0,0.96,-3.19,7.49,12.45,1372.0,1975.0,79.21,1796.18,1975.0,0.5,False,1897.5,2035.5,1621.5,at,2125.65,1873.0,1620.35,False,0.583,95.5794,95.1316,0.4478,none,55.73,up,inverted_hammer,True,"1708,1718,1703,1740,1763,1711,1762,1814,1824,1878,1934,1910,2021,2015,1978,2035,2070,1999,1962,1915",35.0,Moderate Candidate
سينرژي,True,,,,none,,,,,,,,,,,,False,,,,unknown,,,,False,,,,,none,,,none,,,35.0,Moderate Candidate
شسپا,False,2026-06-29,16320.0,100.0,none,6.0,1.67,10.42,0.0,66.53,8850.0,16350.0,455.71,15636.43,20349.36,5.89,False,9129.0,15051.0,8283.0,above,17300.83,13045.0,8789.17,False,0.885,1714.8962,1431.563,283.3332,none,80.36,up,none,,"9800,10090,10390,10700,11020,11350,11690,12040,12400,12770,13150,13540,13940,14350,14780,15200,15460,15920,15990,16320",35.0,Moderate Candidate
شيراز,True,,,,none,,,,,,,,,,,,False,,,,unknown,,,,False,,,,,none,,,none,,,35.0,Moderate Candidate
دلقما,False,2026-06-29,4120.0,100.0,none,6.0,0.07,11.35,0.0,68.03,2180.0,4529.0,106.29,3960.57,4529.0,2.57,False,3689.3,4153.7,3689.3,above,4362.27,3272.4,2182.53,False,0.889,251.1245,121.4031,129.7214,none,52.37,up,doji,,"2452,2525,2600,2678,2758,2840,2925,3012,3102,3195,3290,3388,3489,3593,3700,3788,3893,4000,4100,4120",35.0,Moderate Candidate
فافق,False,2026-06-29,10630.0,71.47,bearish,6.0,0.72,-2.74,4.83,24.77,7780.0,11470.0,367.86,10078.21,11470.0,1.52,False,8420.5,9266.5,7151.5,above,11896.01,10170.0,8443.99,False,0.633,707.2087,711.3942,-4.1856,bearish,65.25,up,doji,,"8520,8770,9030,9300,9570,9290,9560,9840,10130,10430,10740,10450,10990,10960,10930,11140,11170,11000,10950,10630",31.0,Weak Candidate
وخاور,False,2026-06-29,5130.0,90.86,bearish,6.0,0.65,11.64,0.58,52.32,2689.0,5230.0,162.21,4886.69,5230.0,0.41,False,2728.0,4520.0,2728.0,above,5453.3,4276.45,3099.6,False,0.863,513.4591,447.3193,66.1398,none,81.32,up,none,,"3368,3469,3572,3679,3784,3700,3850,3965,4083,4205,4331,4460,4593,4725,4595,4842,4938,5080,5160,5130",31.0,Weak Candidate
زرين,True,,,,none,,,,,,,,,,,,False,,,,unknown,,,,False,,,,,none,,,none,,,31.0,Weak Candidate
وگردش,False,2026-06-29,1388.0,93.94,none,6.0,0.5,13.4,0.0,49.41,705.0,1388.0,43.14,1323.29,1671.66,4.38,False,1022.8,1222.0,956.4,above,1423.21,1145.25,867.29,False,0.937,119.3347,97.2515,22.0832,none,62.45,up,doji,,"929,956,984,1012,1042,1011,1043,1074,1105,1138,1172,1150,1213,1209,1224,1261,1293,1331,1370,1388",30.0,Weak Candidate
زاگرس,False,2026-06-29,117400.0,80.27,none,5.0,0.81,0.77,4.75,26.03,90550.0,138250.0,4028.57,111357.15,138250.0,3.45,False,162680.0,170860.0,121780.0,below,128760.77,107645.0,86529.23,False,0.731,338.2999,-2364.6488,2702.9488,none,36.32,up,none,,"99500,100100,93300,96050,96000,93150,96500,99350,102300,105350,108500,111750,115100,118550,116500,122350,123250,119600,118300,117400",30.0,Weak Candidate
فرابورس,False,2026-06-29,6710.0,96.25,none,6.0,1.03,11.83,0.0,48.48,3411.0,6710.0,209.71,6395.44,8064.04,4.3,False,4604.65,5900.25,3632.95,above,6883.39,5481.0,4078.61,False,0.938,592.2836,484.685,107.5986,none,73.03,up,doji,,"4519,4652,4764,4802,4881,4734,4876,5022,5170,5320,5470,5630,5770,5920,6000,6140,6320,6500,6420,6710",30.0,Weak Candidate
پتروصبا,False,2026-06-29,24036.0,84.84,none,6.0,4.19,7.48,1.49,21.05,21720.0,25080.0,705.5,22977.75,25080.0,0.99,False,22464.5,23961.5,21965.5,above,24938.67,21778.9,18619.13,False,0.857,571.5755,173.176,398.3995,none,60.63,up,none,,"21420,21260,21100,20620,20150,19856,19979,19874,20000,20600,21218,21854,22508,22804,22363,23479,23690,24368,24399,24036",27.0,Weak Candidate
