symbol,missing,latest_date,latest_close,rsi,macd,macd_signal,macd_hist,trend_score,volume_ratio_20,return_5d_percent,distance_to_20d_high_percent,distance_to_20d_low_percent,support,resistance,stop_loss,target_1,risk_reward,stale,bb_upper,bb_mid,bb_lower,bb_width,bb_position,candlestick_signal,candlestick_patterns,candlestick_bonus,initial_score,initial_label,sector,smart_money_signal,smart_money_fa,queue_signal,queue_fa,queue_detail,sector_status,confidence_score,confidence_grade,confidence_factors,decision_label,decision_reasons,rsi_status
برليان,False,2026-06-21,31937.0,83.96,2000.48,1646.06,354.42,6,1.51,2.57,0.5,34.61,23725.0,32099.0,23013.25,32099.0,0.02,False,34067.04,28393.05,22719.06,39.97,81.2,neutral,بدون الگو,0,65,Weak Candidate,سایر,no_data,داده صف در دسترس نیست,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,65,B,RSI=84: -10 (اشباع خرید) | روند 6/6: +18 | حجم 1.5x: +7,Avoid Entry Now - Overbought,RSI=84 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
گشان,False,2026-06-21,22400.0,82.96,1500.88,1205.26,295.62,6,2.64,4.67,0.0,40.09,15990.0,22400.0,15510.3,22400.0,,False,23700.0,19301.5,14903.0,45.58,85.2,neutral,بدون الگو,0,73,Weak Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,73,B,پول هوشمند: +5 | RSI=83: -10 (اشباع خرید) | روند 6/6: +18 | حجم 2.6x: +10,Avoid Entry Now - Overbought,RSI=83 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
كمينا,False,2026-06-21,9980.0,92.33,695.67,515.71,179.96,6,2.44,8.13,0.0,52.83,6530.0,9980.0,6334.1,9980.0,,False,10552.12,8267.5,5982.88,55.27,87.5,neutral,بدون الگو,0,73,Weak Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,73,B,پول هوشمند: +5 | RSI=92: -10 (اشباع خرید) | روند 6/6: +18 | حجم 2.4x: +10,Avoid Entry Now - Overbought,RSI=92 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
هيبريد,False,2026-06-21,20656.0,56.96,791.94,806.47,-14.53,6,0.33,-4.32,7.11,16.46,17737.0,22236.0,17204.89,22236.0,0.46,False,22443.13,20226.95,18010.77,21.91,59.7,neutral,بدون الگو,0,83,Weak Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,83,A,پول هوشمند: +5 | RSI=57: +15 (ایده‌آل) | روند 6/6: +18 | حجم 0.3x: -5,Watch - Needs Volume Confirmation,حجم نسبی=0.33 → نیاز به تایید حجم,میانه
غگرجي,False,2026-06-21,2485.0,85.58,203.69,175.52,28.17,6,1.91,6.38,0.0,48.54,1673.0,2485.0,1622.81,2485.0,,False,2607.32,2108.0,1608.68,47.37,87.8,bullish,سه سرباز سفید 💪,15,70,Weak Candidate,سایر,price_volume_bullish,رشد با حجم بالا,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,70,B,پول هوشمند: +5 | RSI=86: -10 (اشباع خرید) | روند 6/6: +18 | حجم 1.9x: +7,Avoid Entry Now - Overbought,RSI=86 ≥ 80 → اشباع خرید شدید,اشباع خرید شدید
اعتماد,False,2026-06-21,129029.0,,1165.94,1166.37,-0.43,6,0.69,0.65,0.0,2.61,125751.0,129029.0,121978.47,129029.0,,False,129442.75,127448.2,125453.65,3.13,89.6,bullish,سه سرباز سفید 💪,15,66,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,66,B,پول هوشمند: +3 | روند 6/6: +18 | حجم 0.7x: -5,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
تداوم,False,2026-06-21,24346.0,,226.94,224.8,2.14,6,0.93,0.7,0.0,2.69,23708.0,24346.0,22996.76,24346.0,,False,24421.82,24027.15,23632.48,3.29,90.4,neutral,بدون الگو,0,71,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,71,B,پول هوشمند: +3 | روند 6/6: +18,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
سرود,False,2026-06-21,14030.0,,1450.85,1148.22,302.62,6,6.5,15.28,0.0,73.21,8100.0,14030.0,7857.0,14030.0,,False,14531.16,10826.0,7120.84,68.45,93.2,neutral,دوجی,5,81,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,81,A,پول هوشمند: +3 | روند 6/6: +18 | حجم 6.5x: +10,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
زفجر,False,2026-06-21,38650.0,,3465.51,2510.13,955.38,6,10.09,15.55,0.0,72.16,22450.0,38650.0,21776.5,38650.0,,False,39903.7,29837.5,19771.3,67.47,93.8,neutral,دوجی,5,81,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,81,A,پول هوشمند: +3 | روند 6/6: +18 | حجم 10.1x: +10,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
كارا,False,2026-06-21,34100.0,,312.96,315.92,-2.97,6,0.84,0.64,0.0,2.57,33245.0,34100.0,32247.65,34100.0,,False,34208.13,33687.2,33166.27,3.09,89.6,bullish,چکش 🔨 | پین بار صعودی 📍,30,71,Weak Candidate,سایر,high_value_flat,حجم پول بالا، قیمت راکد,balanced,تعادل عرضه و تقاضا,نسبت: 1.0x,🟡 خنثی,71,B,پول هوشمند: +3 | روند 6/6: +18,Missing Technical Data,داده تاریخچه یا اندیکاتور در دسترس نیست,نامشخص
