ins_code,isin,symbol,buy_volume_or_count,trade_value,last_price,last_price_change_percent,close_price,close_price_change_percent,buy_power_numerator,sell_power_denominator,buyer_power,real_money_flow,unknown_1,unknown_2,volume,best_buy_price,best_sell_price,best_sell_volume,previous_close,name,high,low,best_buy_volume,has_history,initial_score,initial_label
49188729526980541,IRO1SEPP0001,شسپا,,1927787842240.0,15020.0,,15200.0,1.54,0.0,0.0,1.0,0.0,,,128375729.0,0.0,0.0,0.0,14970.0,نفت سپاهان,14760.0,3025.0,0.0,True,35.0,Moderate Candidate
38568786927478796,IRO1PSHZ0001,شيراز,,469602435910.0,71270.0,,69590.0,1.87,0.0,0.0,1.0,0.0,,,6588772.0,0.0,0.0,0.0,68310.0,پتروشيمي‌شيراز,70410.0,8660.0,0.0,True,35.0,Moderate Candidate
29247915161590165,IRO1DLGM0001,دلقما,,268332707646.0,3778.0,,3788.0,1.28,0.0,0.0,1.0,0.0,,,71030579.0,0.0,0.0,0.0,3740.0,دارويي‌ لقمان‌,3678.0,623.0,0.0,True,35.0,Moderate Candidate
22424135367941584,IRO7OKCZ0001,فافق,,143196107030.0,10750.0,,11240.0,2.55,0.0,0.0,1.0,0.0,,,13315111.0,0.0,0.0,0.0,10960.0,صنايع مس افق كرمان,10950.0,2145.0,0.0,True,31.0,Weak Candidate
47333458678352378,IRO1BKHZ0001,وخاور,,132888944218.0,4689.0,,4769.0,1.25,0.0,0.0,1.0,0.0,,,28339176.0,0.0,0.0,0.0,4710.0,بانك خاورميانه,4701.0,1202.0,0.0,True,31.0,Weak Candidate
50139638026536387,IRT3ZAKF0001,زرين,,100538386901.0,47366.0,,47500.0,1.07,0.0,0.0,1.0,0.0,,,2122572.0,0.0,0.0,0.0,46996.0,صندوق س. سهام زرين كوروش-س,48445.0,0.0,0.0,True,31.0,Weak Candidate
66790687790437196,IRO3GRDZ0001,وگردش,,364036835181.0,1252.0,,1261.0,5.08,0.0,0.0,1.0,0.0,,,290790626.0,0.0,0.0,0.0,1200.0,بانك گردشگري,1225.0,963.0,0.0,True,30.0,Weak Candidate
13235547361447092,IRO3PZGZ0001,زاگرس,,221836979150.0,119350.0,,120750.0,4.73,0.0,0.0,1.0,0.0,,,1858884.0,0.0,0.0,0.0,115300.0,پتروشيمي زاگرس,118800.0,6744.0,0.0,True,30.0,Weak Candidate
58741071099161284,IRO3FRBZ0001,فرابورس,,300635524230.0,6130.0,,6140.0,4.07,0.0,0.0,1.0,0.0,,,49032015.0,0.0,0.0,0.0,5900.0,فرابورس ايران,5970.0,338.0,0.0,True,30.0,Weak Candidate
30762816122316539,IRT1ANSH0001,پتروصبا,,70858750246.0,22954.0,,23202.0,3.12,0.0,0.0,1.0,0.0,,,3087033.0,0.0,0.0,0.0,22500.0,صندوق س صنايع انديشه صبا1-بخشي,23194.0,0.0,0.0,True,27.0,Weak Candidate
