date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-12-16,10000.0,10000.0,10000.0,10000.0,167801300000,16780130,3508,10000.0,10000.0,1392-09-25
2013-12-17,10000.0,10000.0,10000.0,10000.0,64871920000,6487192,1585,10000.0,10000.0,1392-09-26
2013-12-18,10000.0,10000.0,10000.0,10000.0,46226010000,4622601,1131,10000.0,10000.0,1392-09-27
2013-12-21,10000.0,10000.0,10000.0,10000.0,59571970000,5957197,1162,10000.0,10000.0,1392-09-30
2013-12-22,10000.0,10000.0,10000.0,10000.0,201668040000,20166804,2739,10000.0,10000.0,1392-10-01
2014-01-08,10151.0,10151.0,10011.0,10136.0,12106933775,1194451,582,10000.0,10050.0,1392-10-18
2014-01-11,10136.0,10139.0,10000.0,10016.0,17913406587,1788437,740,10136.0,10000.0,1392-10-21
2014-01-12,10000.0,10000.0,9502.0,9760.0,13482462892,1381458,475,10016.0,9550.0,1392-10-22
2014-01-13,9980.0,10000.0,9901.0,9987.0,5362607863,536941,369,9760.0,9998.0,1392-10-23
2014-01-14,10000.0,10015.0,9850.0,9969.0,5578481129,559577,345,9987.0,9940.0,1392-10-24
2014-01-15,9940.0,9940.0,9750.0,9815.0,3720435880,379057,258,9969.0,9830.0,1392-10-25
2014-01-18,9840.0,9848.0,9700.0,9767.0,6680261914,683949,260,9815.0,9750.0,1392-10-28
2014-01-20,9780.0,9845.0,9250.0,9623.0,7731339878,803426,396,9767.0,9650.0,1392-10-30
2014-01-21,9649.0,9690.0,9550.0,9634.0,2814633051,292169,181,9623.0,9550.0,1392-11-01
2014-01-22,9630.0,9699.0,9521.0,9601.0,8601213776,895840,222,9634.0,9650.0,1392-11-02
2014-01-26,9601.0,9602.0,9601.0,9601.0,4582490203,477293,185,9601.0,9601.0,1392-11-06
2014-01-27,9500.0,9550.0,9340.0,9423.0,7751794561,822615,253,9601.0,9550.0,1392-11-07
2014-01-28,9600.0,9800.0,9600.0,9680.0,2198532069,227119,160,9423.0,9673.0,1392-11-08
2014-01-29,9730.0,9900.0,9700.0,9828.0,4512507842,459145,214,9680.0,9882.0,1392-11-09
2014-02-01,9882.0,10100.0,9866.0,9948.0,3472694382,349096,255,9828.0,10100.0,1392-11-12
2014-02-02,10120.0,10120.0,9821.0,9914.0,2445862908,246707,124,9948.0,9821.0,1392-11-13
2014-02-03,9800.0,9800.0,9710.0,9762.0,2667349177,273228,123,9914.0,9740.0,1392-11-14
2014-02-04,9820.0,9898.0,9779.0,9802.0,1478826211,150872,90,9762.0,9820.0,1392-11-15
2014-02-05,9750.0,9750.0,9570.0,9634.0,2859544385,296824,99,9802.0,9600.0,1392-11-16
2014-02-08,9570.0,9570.0,9400.0,9446.0,11725142067,1241324,218,9634.0,9430.0,1392-11-19
2014-02-09,9400.0,9460.0,9313.0,9350.0,1520623697,162629,108,9446.0,9456.0,1392-11-20
2014-02-10,9350.0,9350.0,9190.0,9249.0,2223227391,240367,105,9350.0,9190.0,1392-11-21
2014-02-12,9249.0,9249.0,8970.0,9029.0,7686226436,851270,159,9249.0,9000.0,1392-11-23
2014-02-15,8850.0,9150.0,8850.0,9011.0,3065466806,340181,125,9029.0,9100.0,1392-11-26
2014-02-16,9020.0,9461.0,9020.0,9362.0,4186740875,447221,182,9011.0,9461.0,1392-11-27
2014-02-17,9600.0,9680.0,9150.0,9561.0,10379746416,1085614,278,9362.0,9373.0,1392-11-28
2014-02-18,9407.0,9407.0,9220.0,9292.0,1328489743,142969,80,9561.0,9295.0,1392-11-29
2014-02-19,9321.0,9473.0,9321.0,9406.0,990210874,105275,99,9292.0,9455.0,1392-11-30
2014-02-22,9500.0,9690.0,9420.0,9557.0,1262996868,132159,110,9406.0,9590.0,1392-12-03
2014-02-23,9521.0,9521.0,9411.0,9458.0,1297043369,137133,115,9557.0,9441.0,1392-12-04
2014-02-24,9350.0,9398.0,9280.0,9317.0,1395237050,149748,84,9458.0,9280.0,1392-12-05
2014-02-25,9336.0,9336.0,9180.0,9239.0,2548328311,275835,96,9317.0,9280.0,1392-12-06
2014-02-26,9251.0,9301.0,9140.0,9187.0,4154066206,452159,162,9239.0,9300.0,1392-12-07
2014-03-01,9340.0,9350.0,9250.0,9303.0,1528548123,164308,75,9187.0,9325.0,1392-12-10
2014-03-02,9285.0,9379.0,9180.0,9235.0,2104870292,227918,93,9303.0,9285.0,1392-12-11
2014-03-03,9299.0,9299.0,9040.0,9128.0,6786587715,743499,100,9235.0,9040.0,1392-12-12
2014-03-04,9019.0,9185.0,9010.0,9073.0,900270492,99224,80,9128.0,9157.0,1392-12-13
2014-03-05,9230.0,9347.0,9230.0,9315.0,1782031831,191318,77,9073.0,9300.0,1392-12-14
2014-03-08,9400.0,9400.0,9140.0,9260.0,1071031379,115658,73,9315.0,9299.0,1392-12-17
2014-03-09,9200.0,9225.0,9100.0,9157.0,967347819,105646,77,9260.0,9220.0,1392-12-18
2014-03-10,9100.0,9300.0,9100.0,9149.0,595784729,65117,58,9157.0,9220.0,1392-12-19
2014-03-11,9180.0,9180.0,9050.0,9090.0,1618269035,178022,72,9149.0,9130.0,1392-12-20
2014-03-12,9100.0,9300.0,9080.0,9120.0,1606503614,176159,146,9090.0,9300.0,1392-12-21
2014-03-15,9299.0,9499.0,9299.0,9383.0,1135311095,120995,106,9120.0,9371.0,1392-12-24
2014-03-16,9380.0,9550.0,9380.0,9461.0,1771312966,187228,97,9383.0,9387.0,1392-12-25
2014-03-17,9450.0,9500.0,9350.0,9419.0,1201378261,127545,126,9461.0,9488.0,1392-12-26
2014-03-18,9470.0,9589.0,9420.0,9468.0,1984642726,209608,86,9419.0,9499.0,1392-12-27
2014-03-19,9646.0,9760.0,9640.0,9710.0,3533094252,363843,239,9468.0,9688.0,1392-12-28
2014-03-25,9730.0,9785.0,9640.0,9711.0,1500615350,154533,51,9710.0,9700.0,1393-01-05
2014-03-26,9670.0,9740.0,9610.0,9652.0,1226943160,127121,57,9711.0,9630.0,1393-01-06
2014-03-29,9610.0,9650.0,9500.0,9558.0,1490394216,155936,62,9652.0,9550.0,1393-01-09
2014-03-30,9560.0,9710.0,9560.0,9674.0,1763895713,182325,63,9558.0,9700.0,1393-01-10
2014-03-31,9720.0,9795.0,9680.0,9709.0,1290897855,132957,77,9674.0,9700.0,1393-01-11
2014-04-05,9700.0,9760.0,9680.0,9742.0,1687322161,173208,65,9709.0,9710.0,1393-01-16
2014-04-06,9750.0,9770.0,9561.0,9682.0,1812079663,187160,82,9742.0,9580.0,1393-01-17
2014-04-07,9580.0,9627.0,9580.0,9605.0,1467295417,152762,143,9682.0,9610.0,1393-01-18
2014-04-08,9600.0,9710.0,9600.0,9664.0,1341924920,138853,52,9605.0,9610.0,1393-01-19
2014-04-09,9600.0,9600.0,9570.0,9584.0,871653468,90951,54,9664.0,9570.0,1393-01-20
2014-04-12,9600.0,9600.0,9200.0,9445.0,3413625025,361416,81,9584.0,9400.0,1393-01-23
2014-04-13,9400.0,9400.0,9250.0,9314.0,4255777573,456904,120,9445.0,9325.0,1393-01-24
2014-04-14,9241.0,9336.0,9170.0,9208.0,3127447885,339661,86,9314.0,9180.0,1393-01-25
